"award","date","with"
"Open Science Preis der Universität zu Lübeck","2022","Open Science Initiative der Universität zu Lübeck"
"Preis für die beste Lehre","2021","Fachschaft Kommunikationswissenschaft und Psychologie, RWTH Aachen University"
"Drittmittel: LEMMI - Beteiligter PI an Forschungsgebäude nach Art. 91b GG, förderwürdig beschiedener Antrag, Förderphase 2025, max. 67 Mio. Euro", 2025,"Wissenschaftsrat, Land SH und Bund"
"Drittmittel: PosAIdon - KI-basierte Entdeckung von havarierten Personen in der Seenotrettung, eigener Anteil 530.000,- Euro", 2024, Auftragsforschung öffentlicher Auftraggeber (Angebotsannahme wird zeitnah erwartet)
"Drittmittel: MASIRI - Multi-Agent-Simulation of Intelligent Resource Regulation in Integrated Energy and Mobility, eigener Anteil 65.000,- Euro", 2022, Land SH
"Drittmittel: infoXpand - Modellierung von Meinungsdynamiken in Pandemien, eigener Anteil 478.000,- Euro", 2022, BMBF
"Drittmittel: OptimAgent - Modellierung von gesundheitsprotektivem Verhalten in Pandemien, eigener Anteil 290.000,- Euro", 2022, BMBF
"Drittmittel: TAIgers - Transparanez in AI, eigener Anteil 45.000,- Euro", 2020, DFG-Exzellenzmittel
"Drittmittel: Kistra, Forschungsbereich Polizei und Nachrichtendienste - Nutzung von KI zur Früherkennung von Straftaten, Fördervolumen 3 Mio. Euro, eigener Anteil: 275.175,- Euro","2020"," BMBF"
"Drittmittel: E-Learning-Projekt: ShinyStats, Fördervolumen 5.000,- Euro","2018"," RWTH Digitization Fund"
"Drittmittel: Nachwuchsforschergruppe: Digitale Mündigkeit, Fördervolumen 949.500,- Euro","2018"," NRW"
"Drittmittel: SmartIdentifikation, Gesamtfördervolumen 950.000,- Euro, Eigenanteil: 302.767,- Euro","2018"," BMBF"
"Drittmittel: Spicy: Spatial Perceptions in Virtual Reality. Zusammen mit Prof. Martina Ziefle, Prof. Leif Kobbelt, Fördervolumen (eigener Anteil) 65.000,- Euro","2016"," RWTH-Aachen Profile Area for Information and Communication Technology, exIni"
"Auszeichnung: Borchers-Insignien des proRWTH e.V. für eine herausragende Dissertation","2014"," RWTH Aachen University"
"Stipendium: Promotionsstipendium der Rheinisch-Westfälischen Technischen Hochschule Aachen für Studierende mit hervorragenden Studienabschlüssen","2009"," RWTH Aachen University"
"Best Paper Award: “Hey, Siri”, “Ok, Google”, “Alexa”. Acceptance-relevant factors of virtual voice-assistants","2019","IEEE Conference on Professional Communication"
"Best Paper Award: The Impact of User Diversity on the Willingness to Disclose Personal Information in Social Network Services","2013"," SouthCHI 2013 Conference"
"Best Presentation Award: Personality Influences on Etiquette Requirements for Social Media in the Work Context","2013"," SouthCHI 2013 Conference"
"Best Poster Award: Political Opinions of Us and Them and the Influence of Digital Media Usage","2018"," European Computational Social Science Conference 2013 (EuroCSS)"
"Best Paper Award: Openness to Accept Medical Technology - A Cultural View","2011"," USAB 2011 Conference"